# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-2.974035520018829537e-01,3.716243193486686858e-01,-0.000000000000000000e+00,7.648598650707572055e-01,-2.109375000000000000e-01,-2.974035520018829537e-01,3.800423075596982003e-01,-0.000000000000000000e+00,9.406284970159869419e-01
-2.974035520018829537e-01,3.800423075596982003e-01,-0.000000000000000000e+00,9.406284970159869419e-01,-2.851562500000000000e-01,-2.975416864895754077e-01,3.896915779293032012e-01,-1.316289608929440205e-02,1.022653858590427456e+00
-2.975416864895754077e-01,3.896915779293032012e-01,-1.316289608929440205e-02,1.022653858590427456e+00,-3.671875000000000000e-01,-2.975416864895754077e-01,4.000274994682055385e-01,-0.000000000000000000e+00,1.086569724752329158e+00
-2.975416864895754077e-01,4.000274994682055385e-01,-0.000000000000000000e+00,1.086569724752329158e+00,-4.648437500000000000e-01,-2.979560899526528250e-01,4.091249997127039406e-01,-3.774859599955359551e-02,8.831042174702753433e-01
-2.979560899526528250e-01,4.091249997127039406e-01,-3.774859599955359551e-02,8.831042174702753433e-01,4.335937500000000000e-01,-2.986467623911152058e-01,4.151439863999250024e-01,-7.491311536934337767e-02,5.273058958356890980e-01
-2.986467623911152058e-01,4.151439863999250024e-01,-7.491311536934337767e-02,5.273058958356890980e-01,3.554687500000000000e-01,-2.997518382926549485e-01,4.175097558670933795e-01,-1.118760384777131578e-01,1.597896654047542830e-01
-2.997518382926549485e-01,4.175097558670933795e-01,-1.118760384777131578e-01,1.597896654047542830e-01,3.007812500000000000e-01,-3.012713176572720530e-01,4.166242353163677192e-01,-1.520786116145536881e-01,-1.459412277363422439e-01
-3.012713176572720530e-01,4.166242353163677192e-01,-1.520786116145536881e-01,-1.459412277363422439e-01,2.617187500000000000e-01,-3.032052004849666305e-01,4.110722755006156470e-01,-1.906341507375189925e-01,-5.869607042534641383e-01
-3.032052004849666305e-01,4.110722755006156470e-01,-1.906341507375189925e-01,-5.869607042534641383e-01,2.500000000000000000e-01,-3.054153522880461158e-01,4.037350904070905466e-01,-2.178317639877681289e-01,-7.936220048436128938e-01
-3.054153522880461158e-01,4.037350904070905466e-01,-2.178317639877681289e-01,-7.936220048436128938e-01,2.148437500000000000e-01,-3.079017730665105090e-01,3.932699838926319025e-01,-2.562359856706689087e-01,-9.928264543815399357e-01
-3.079017730665105090e-01,3.932699838926319025e-01,-2.562359856706689087e-01,-9.928264543815399357e-01,2.187500000000000000e-01,-3.106644628203598657e-01,3.800362237334214410e-01,-2.684418450940424528e-01,-1.419997493230249708e+00
-3.106644628203598657e-01,3.800362237334214410e-01,-2.684418450940424528e-01,-1.419997493230249708e+00,1.953125000000000000e-01,-3.137034215495941858e-01,3.650170592479304865e-01,-2.918446881250681413e-01,-1.472195450595802813e+00
-3.137034215495941858e-01,3.650170592479304865e-01,-2.918446881250681413e-01,-1.472195450595802813e+00,1.875000000000000000e-01,-3.167423802788284504e-01,3.484046216633315818e-01,-3.233710519284116458e-01,-1.704423097650712426e+00
-3.167423802788284504e-01,3.484046216633315818e-01,-3.233710519284116458e-01,-1.704423097650712426e+00,1.953125000000000000e-01,-3.199194734957552244e-01,3.318583642855508220e-01,-3.216901986319255502e-01,-1.658616726901349425e+00
-3.199194734957552244e-01,3.318583642855508220e-01,-3.216901986319255502e-01,-1.658616726901349425e+00,1.718750000000000000e-01,-3.237872391511442682e-01,3.151811863307437678e-01,-3.383935118786179364e-01,-1.679922015621983400e+00
