# x_k, theta_k, xd_k, thetad_k, tau_k, x_k+1, theta_k+1, xd_k+1, thetad_k+1
-3.052772178003536341e-02,-1.300411365626859550e-01,1.051911876505063764e-01,4.452805342612485839e-01,-4.921875000000000000e-01,-2.914637690311068854e-02,-1.238745220517128848e-01,1.412531472966009616e-01,6.604639503396509959e-01
-2.914637690311068854e-02,-1.238745220517128848e-01,1.412531472966009616e-01,6.604639503396509959e-01,4.804687500000000000e-01,-2.762689753849354585e-02,-1.156925310397535767e-01,1.403903070079112470e-01,8.692557798018633042e-01
-2.762689753849354585e-02,-1.156925310397535767e-01,1.403903070079112470e-01,8.692557798018633042e-01,4.726562500000000000e-01,-2.624555266156886404e-02,-1.049100529280406757e-01,1.496559472713927808e-01,1.095091840240582703e+00
-2.624555266156886404e-02,-1.049100529280406757e-01,1.496559472713927808e-01,1.095091840240582703e+00,4.335937500000000000e-01,-2.458793880925925004e-02,-9.507548253732636678e-02,1.597770007629180089e-01,1.018392800846300794e+00
-2.458793880925925004e-02,-9.507548253732636678e-02,1.597770007629180089e-01,1.018392800846300794e+00,4.335937500000000000e-01,-2.306845944464211082e-02,-8.293688214115121915e-02,1.563888490609329218e-01,1.222923572564386108e+00
-2.306845944464211082e-02,-8.293688214115121915e-02,1.563888490609329218e-01,1.222923572564386108e+00,4.179687500000000000e-01,-2.141084559233249335e-02,-7.192026500946288592e-02,1.635467622779429309e-01,1.049285469491219924e+00
-2.141084559233249335e-02,-7.192026500946288592e-02,1.635467622779429309e-01,1.049285469491219924e+00,4.375000000000000000e-01,-1.989136622771535065e-02,-6.126894436225033269e-02,1.471997038278625713e-01,1.148355062042167418e+00
-1.989136622771535065e-02,-6.126894436225033269e-02,1.471997038278625713e-01,1.148355062042167418e+00,4.414062500000000000e-01,-1.837188686309820448e-02,-5.054116723208591788e-02,1.557658163737296320e-01,1.008805420922015417e+00
-1.837188686309820448e-02,-5.054116723208591788e-02,1.557658163737296320e-01,1.008805420922015417e+00,4.453125000000000000e-01,-1.685240749848106179e-02,-4.074379840854962243e-02,1.538852680654629324e-01,9.629990501726526375e-01
-1.685240749848106179e-02,-4.074379840854962243e-02,1.538852680654629324e-01,9.629990501726526375e-01,4.531250000000000000e-01,-1.519479364617144952e-02,-3.167320121454140353e-02,1.630405086695967398e-01,9.427590258880503837e-01
-1.519479364617144952e-02,-3.167320121454140353e-02,1.630405086695967398e-01,9.427590258880503837e-01,4.570312500000000000e-01,-1.353717979386183379e-02,-2.200635809794481562e-02,1.617884813998937132e-01,9.906959255094766048e-01
